code;entityMask;methodMask;ruleType;ruleRole;description
UBA_USER_LANGCH_EVERYONE;uba_user;changeLanguage;A;User;Allow change language for Everyone
UBA_USER_UDATACH_USERS;uba_user;setUDataKey;A;User;Allow set uData key for user
UBA_USER_READ_USERS;uba_user;select;A;User;Allow read users for registered user
UBA_USER_READ_GROUPS;uba_group;select;A;User;Allow read groups for registered user
UBA_USER_EDIT_SUPERVISOR;uba_user;[iuda]*;A;Supervisor;Allow CUD operations on users for supervisor
UBA_USER_CHPWD_SUPERVISOR;uba_user;changeOtherUserPassword;A;Supervisor;Allow change password for any user for supervisor
UBA_GROUP_EDIT_SUPERVISOR;uba_group;[iuda]*;A;Supervisor;Allow CUD operations on security groups for supervisor
UBA_ROLE_READ_SUPERVISOR;uba_role;select;A;Supervisor;Allow supervisor to read roles
UBA_USER_ROLE_EDIT_SUPERVISOR;uba_userrole;[iuda]*;A;Supervisor;Allow grant a role to user for supervisor
UBA_USER_GROUP_EDIT_SUPERVISOR;uba_usergroup;[iuda]*;A;Supervisor;Allow grant a group to user for supervisor
UBA_GROUPROLE_EDIT_SUPERVISOR;uba_grouprole;[iuda]*;A;Supervisor;Allow grant a role to group for supervisor
UBA_GROUPROLE_READ_SUPERVISOR;uba_grouprole;select;A;Supervisor;Allow supervisor to read groups roles
UBA_USERROLE_READ_SUPERVISOR;uba_userrole;select;A;Supervisor;Allow supervisor to read user roles
UBA_USERGROUP_READ_SUPERVISOR;uba_usergroup;select;A;Supervisor;Allow supervisor to read user groups
UBA_AUDIT_READ_SUPERVISOR;uba_audit;select;A;Supervisor;Allow supervisor to read security audit
UBA_AUDITTRAIL_READ_SUPERVISOR;uba_auditTrail;select;A;Supervisor;Allow supervisor to read audit trail
UBA_AUDIT_SELECT_ONLY;uba_audit;[^s]*;D;Everyone;Deny direct security audit operation even for all roles
UBA_AUDIT_SECURE_EVENT;uba_audit;secureBrowserEvent;A;User;Allow insert secureBrowserEvent for authorized user
UBA_SUBJECT_DENY;uba_subject;[iuda]*;D;Everyone;Deny direct modification of UNITY uba_subject
UBA_AUDITTRAIL_SEL_ONLY;uba_auditTrail;[iuda]*;D;Everyone;Deny direct audit operation even for all roles
UBA_ADVSEC_EDIT_SUPERVISOR;uba_advSecurity;[iuda]*;A;Supervisor;Allow CUD operations on advanced security for supervisor
UBA_USERCERT_READ;uba_usercertificate;select;A;User;Allow read user certificates for registered users
UBA_USERCERT_READ_CERT_BIN;uba_usercertificate;getCertificate;A;User;Allow read base64 representation of cert for registered users
